SS_NoSpace,SiteSeriesLongName
BWBSwk1/110,Sw – Currant – Horsetail
BWBSwk1/110$6B.1,AcbAt – Cow parsnip
BWBSwk1/110$6B.2,At – High bush-cranberry – Oak fern
BWBSwk1/111,Sb – Horsetail – Step moss
BWBSwk1/Gb51,Saskatoon – Blue wildrye
BWBSwk1/Wb06,Lt – Water sedge – Fen moss
BWBSwk1/Wb09,Sb – Horsetail – Peat mosses
BWBSwk1/Wf01,Water sedge – Beaked sedge
BWBSwk1/Wf02,Scrub birch – Water sedge
BWBSwk1/Wf14,Tea-leaved willow – Water sedge – Glow moss
BWBSwk2/101,SwBl – Huckleberry – Feather moss
BWBSwk2/101$6B.1,At – Sitka alder – High bush-cranberry
BWBSwk2/102,Pl – Lingonberry – Reindeer lichens
BWBSwk2/102$6B.1,At – Kinnikinnick – Fuzzy-spiked wildrye
BWBSwk2/103,SwPl – Soopolallie – Fuzzy-spiked wildrye
BWBSwk2/103$6B.1,At – Rose – Fuzzy-spiked wildrye
BWBSwk2/104,Sb – Huckleberry – Lingonberry
BWBSwk2/104$6B.1,At – Labrador tea – Lingonberry
BWBSwk2/110,Sw – Currant – Bluebells
BWBSwk2/110$6B.1,At – High bush-cranberry – Bluebells
BWBSwk2/111,Sw – Currant – Horsetail
BWBSwk2/111$6B.1,AcbAt – Cow parsnip
BWBSwk3/101,SwBl – Huckleberry – Feather moss
BWBSwk3/102,Pl – Crowberry – Lingonberry
BWBSwk3/103,Sb – Huckleberry – Lingonberry
BWBSwk3/110,Sw – Currant – Horsetail
BWBSwk3/111,Sb – Horsetail – Step moss
CDFmm/101,Fdc – Salal – Dull Oregon-grape
CDFmm/102,FdcRa – Heron's-bill mosses – Rock mosses
CDFmm/102.1,FdcRa – Heron's-bill mosses – Rock mosses; Typic variation
CDFmm/102.2,FdcRa – Heron's-bill mosses – Rock mosses; Selaginella variation
CDFmm/103,Qg – Broad-leaved stonecrop – Heron's-bill mosses
CDFmm/104,FdcRa – Salal
CDFmm/105,FdcRa – Oceanspray – Oniongrass
CDFmm/106,Qg – Oceanspray – Polypody ferns
CDFmm/110,CwFdc – Dull Oregon-grape – Sword fern
CDFmm/111,FdcHw – Red huckleberry – Salal
CDFmm/112,CwBg – Sword fern – Foamflower
CDFmm/112a,CwBg – Sword fern – Foamflower; Typic phase
CDFmm/112b,CwBg – Sword fern – Foamflower; Fluctuating water table phase
CDFmm/Bb01,American searocket – Seabeach sandwort
CDFmm/Bb02,Dune lymegrass
CDFmm/Bb02.1,Dune lymegrass; Typic variation
CDFmm/Bb02.2,Dune lymegrass; Sparse variation
CDFmm/Bb02.3,Dune lymegrass; Beach peavine variation
CDFmm/Bb03,Large-headed sedge – Dune bluegrass
CDFmm/Bb04,Silver burr ragweed
CDFmm/Bb05,Beach strawberry – Red fescue – Dune tansy
CDFmm/Bb06,Salal – Slender beaked moss
CDFmm/Bb07,Kinnikinnick – Grey rock moss
CDFmm/Bb08,Field wormwood – Red fescue – Grey rock moss
CDFmm/Bb09,Grey rock moss
CDFmm/Bb10,Dune bluegrass
CDFmm/Bb11,Yellow sand-verbena
CDFmm/Ed01,Tufted hairgrass – Meadow barley
CDFmm/Ed03,Arctic rush – Alaska plantain
CDFmm/Ed04,Cow parsnip – Silverweed cinquefoil
CDFmm/Em01,Sea ditch-grass
CDFmm/Em02,Pacific glasswort – Saltgrass
CDFmm/Em03,Saltgrass
CDFmm/Em05,Lyngbye's sedge
