"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"206","ICHwc","ICHwc/04","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"207","ICHwc","ICHwc/05","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"208","ICHwc","ICHwc/06","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"209","ICHwc","ICHwc/07","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"210","ICHwc","ICHwc/08","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"211","ICHwk2","ICHwk2/02","Ep",3,"Ep",NA,NA,FALSE,"ICH","imputed","CAR"
"212","ICHwk2","ICHwk2/01","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"213","ICHwk2","ICHwk2/01a","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"214","ICHwk2","ICHwk2/01b","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"215","ICHwk2","ICHwk2/04","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"216","ICHwk2","ICHwk2/05","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"217","ICHwk2","ICHwk2/04","Tw",3,"Tw",NA,NA,FALSE,"ICH","imputed","CAR"
"218","ICHxm1","ICHxm1/104.1","Cw",3,"Cw",NA,NA,FALSE,"ICH","imputed","TO"
"219","ICHxm1","ICHxm1/101","Sx",3,"Sx",NA,NA,FALSE,"ICH","imputed","TO"
"220","IDFdc","IDFdc/03","At",3,"At",NA,NA,FALSE,"IDF","imputed","TO"
"221","IDFdc","IDFdc/02","Pli",3,"Pl",NA,NA,FALSE,"IDF","imputed","TO"
"222","IDFdc","IDFdc/04","Sx",2,"Sx",NA,NA,FALSE,"IDF","imputed","TO"
"223","IDFdk1","IDFdk1/Fm02","Act",1,"Ac",NA,NA,FALSE,"IDF",NA,"TO"
"224","IDFdk1","IDFdk1/Fm05","Act",1,"Ac",NA,NA,FALSE,"IDF",NA,"TO"
"225","IDFdk1","IDFdk1/103","At",3,"At",NA,NA,FALSE,"IDF","imputed","TO"
"226","IDFdk1","IDFdk1/Fm02","At",2,"At",NA,NA,FALSE,"IDF",NA,"TO"
"227","IDFdk1","IDFdk1/Fm05","At",2,"At",NA,NA,FALSE,"IDF",NA,"TO"
"228","IDFdk1","IDFdk1/Fm02","Ep",2,"Ep",NA,NA,FALSE,"IDF",NA,"TO"
"229","IDFdk1","IDFdk1/Fm05","Ep",2,"Ep",NA,NA,FALSE,"IDF",NA,"TO"
"230","IDFdk1","IDFdk1/111","Fdi",2,"Fd",NA,NA,FALSE,"IDF","imputed","TO"
"231","IDFdk1","IDFdk1/Fm02","Fdi",3,"Fd",NA,NA,FALSE,"IDF",NA,"TO"
"232","IDFdk1","IDFdk1/Fm05","Fdi",2,"Fd",NA,NA,FALSE,"IDF",NA,"TO"
"233","IDFdk1","IDFdk1/Fm02","Pli",3,"Pl",NA,NA,FALSE,"IDF",NA,"TO"
"234","IDFdk1","IDFdk1/Fm05","Pli",3,"Pl",NA,NA,FALSE,"IDF",NA,"TO"
"235","IDFdk1","IDFdk1/105","Sx",3,"Sx",NA,NA,FALSE,"IDF","imputed","TO"
"236","IDFdk1","IDFdk1/104","Sx",3,"Sx",NA,NA,FALSE,"IDF","imputed","TO"
"237","IDFdk1","IDFdk1/Fm02","Sxw",2,"Sx",NA,NA,FALSE,"IDF",NA,"TO"
"238","IDFdk1","IDFdk1/Fm05","Sxw",2,"Sx",NA,NA,FALSE,"IDF",NA,"TO"
"239","IDFdk2","IDFdk2/101","Ac",4,"Ac",NA,NA,FALSE,"IDF","imputed","TO"
"240","IDFdk2","IDFdk2/110","Ac",3,"Ac",NA,NA,FALSE,"IDF","imputed","TO"
"241","IDFdk2","IDFdk2/Fm02","Act",1,"Ac",NA,NA,FALSE,"IDF",NA,"TO"
"242","IDFdk2","IDFdk2/Fm02","At",2,"At",NA,NA,FALSE,"IDF",NA,"TO"
"243","IDFdk2","IDFdk2/Fm02","Ep",2,"Ep",NA,NA,FALSE,"IDF",NA,"TO"
"244","IDFdk2","IDFdk2/Fm02","Fdi",3,"Fd",NA,NA,FALSE,"IDF",NA,"TO"
"245","IDFdk2","IDFdk2/110","Pli",3,"Pl",NA,NA,FALSE,"IDF","imputed","TO"
"246","IDFdk2","IDFdk2/Fm02","Pli",3,"Pl",NA,NA,FALSE,"IDF",NA,"TO"
"247","IDFdk2","IDFdk2/Fm02","Sxw",2,"Sx",NA,NA,FALSE,"IDF",NA,"TO"
"248","IDFdk3","IDFdk3/01","Lw",3,"Lw",NA,NA,TRUE,"IDF",NA,"CAR"
"249","IDFdk3","IDFdk3/06","Sx",4,"Sx",NA,NA,FALSE,"IDF","imputed","CAR"
